dataset,model,category_name,n_available_seeds,available_seeds,missing_seeds,n_total_across_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,high_confidence_error_rate_mean,high_confidence_error_rate_std,error_rate_mean,error_rate_std,mean_confidence_mean,mean_confidence_std
weibo,DAMMFND,健康,3,"42,2024,2026",,348,0.9367696466961286,0.009951360317576487,0.9367816091954023,0.00995431498602805,0.9813658439885024,0.012454582974604505,0.04845230188152463,0.018108465565976766,0.049583136389247974,0.01367804805762716,0.02586206896551724,0.022808200957453367,0.0632183908045977,0.00995431498602803,0.9643555538803211,0.019427930390906855
weibo,DAMMFND,军事,3,"42,2024,2026",,69,0.794763497372193,0.12870069242425883,0.7971014492753623,0.12551092808470124,0.9538461538461539,0.04679048100229399,0.1859150399856854,0.1084125082519335,0.1396172412302723,0.11037025380449757,0.057971014492753624,0.10040874246776099,0.2028985507246377,0.12551092808470124,0.936342396423946,0.006682325000618907
weibo,DAMMFND,国际,3,"42,2024,2026",,27,0.888888888888889,0.0,0.8888888888888888,0.0,1.0,0.0,0.09305763794112763,0.007148125338241945,0.08025644440639812,0.018590122420843132,0.037037037037037035,0.06415002990995841,0.1111111111111111,0.0,0.9783232779897121,0.007826301821803206
weibo,DAMMFND,娱乐,3,"42,2024,2026",,1377,0.9227503026719273,0.008923161455733032,0.9419026870007263,0.006289218618623396,0.9771304490331039,0.001731483108189166,0.033109281119043876,0.009331282449233072,0.047111122267911774,0.003183304036210386,0.02541757443718228,0.008804906066072725,0.05809731299927379,0.006289218618623375,0.9686681054435305,0.011934691779011344
weibo,DAMMFND,政治,3,"42,2024,2026",,102,0.8325192716640085,0.044171080070747694,0.8333333333333334,0.0449272126956455,0.9202380952380952,0.030374644814697812,0.16440982511478394,0.015343180391738336,0.14632641012338796,0.02709835514154599,0.12745098039215685,0.016980890270283114,0.16666666666666666,0.04492721269564549,0.9550362126466347,0.020767066065718914
weibo,DAMMFND,教育,3,"42,2024,2026",,240,0.9413474796808131,0.03040057603432099,0.9499999999999998,0.024999999999999967,0.9855175688509021,0.004523399544932971,0.04271957574783966,0.012262662939141794,0.042059809101692484,0.01085553648334262,0.020833333333333332,0.007216878364870323,0.05000000000000001,0.024999999999999998,0.9657763061895888,0.014683972380804424
weibo,DAMMFND,社会,3,"42,2024,2026",,1929,0.9358069890346202,0.0033773848919572305,0.9486780715396579,0.0031104199066874227,0.9887344730045505,0.0013568104198054473,0.023812713928568405,0.008217014490606234,0.03922591733254805,0.0036563696524400504,0.020736132711249352,0.004999300550022268,0.05132192846034215,0.0031104199066874054,0.9687426065767557,0.006011241694439832
weibo,DAMMFND,科学,3,"42,2024,2026",,156,0.8985246648138053,0.028488573956932016,0.923076923076923,0.019230769230769218,0.9729729729729731,0.009362436797669575,0.05638824770987328,0.010092576123149127,0.056882845429246175,0.008993022775075216,0.032051282051282055,0.01110288979210819,0.07692307692307693,0.019230769230769232,0.9574159002165182,0.021763229760110678
weibo,DAMMFND,经济,3,"42,2024,2026",,147,0.8888568869276097,0.012016451952879259,0.891156462585034,0.011782658554890335,0.9816091954022989,0.0026336641925033856,0.09103033959261007,0.003366062851058994,0.08182896900339366,0.005602470488610261,0.047619047619047616,0.02356531710978064,0.108843537414966,0.011782658554890319,0.9645245474516494,0.005948588661808743
weibo21,DAMMFND,军事,3,"42,2024,2026",,69,0.9384746235659014,0.02575946216972605,0.9420289855072465,0.0251021856169403,1.0,0.0,0.06753596698652713,0.016028500111201834,0.04881242246521791,0.01890035860770785,0.014492753623188406,0.025102185616940248,0.057971014492753624,0.02510218561694025,0.9680824274107801,0.008879230822372438
weibo21,DAMMFND,医药健康,3,"42,2024,2026",,189,0.9362885112189439,0.0159373956347703,0.9365079365079364,0.015873015873015872,0.9737903225806451,0.007269256603758005,0.04694490062441522,0.0035572034436514564,0.05342495017365495,0.01108045456842448,0.021164021164021163,0.009164289987136916,0.06349206349206349,0.015873015873015872,0.9567385280284464,0.010342058015228655
weibo21,DAMMFND,政治,3,"42,2024,2026",,198,0.9542688792688793,0.019447299896263103,0.9595959595959597,0.017495462702715917,0.9961199294532629,0.004006284547301803,0.04111869588028055,0.0034276729560596087,0.03018107889302786,0.013674896209589699,0.005050505050505051,0.008747731351357967,0.04040404040404041,0.017495462702715934,0.9692975959243461,0.012374558352182622
weibo21,DAMMFND,教育考试,3,"42,2024,2026",,93,0.9534753893449546,0.02072393144727225,0.956989247311828,0.01862420223192346,0.9853801169590642,0.006699672068648849,0.049565919602329866,0.0052700413738997415,0.04017927873622485,0.001593800486520443,0.03225806451612903,0.0,0.04301075268817204,0.01862420223192341,0.9670718140594702,0.010913408238213684
weibo21,DAMMFND,文体娱乐,3,"42,2024,2026",,327,0.9695788399788491,0.027271576495516796,0.9724770642201835,0.024272947807932047,0.994927536231884,0.00452536086840461,0.03044255642159499,0.02024601078350452,0.02599330766247966,0.017904935205350827,0.02140672782874618,0.014013992950935292,0.027522935779816515,0.024272947807932023,0.9794331006973659,0.007308089718354533
weibo21,DAMMFND,灾难事故,3,"42,2024,2026",,132,0.9561742851360338,0.014818106050239453,0.9621212121212123,0.013121597027036937,0.9933829611248965,0.002865261881834334,0.04740635480828298,0.015377619822441624,0.03488775205672265,0.009708360442547624,0.015151515151515152,0.01312159702703695,0.03787878787878788,0.013121597027036951,0.9694383514928852,0.016625154896121118
weibo21,DAMMFND,社会生活,3,"42,2024,2026",,552,0.9195040283548283,0.0033215441926891884,0.9202898550724639,0.0031377732021175453,0.9751587301587302,0.007027171646219206,0.05397815232111273,0.0068284651563362345,0.06382588464343884,0.00520319044463462,0.043478260869565216,0.01630434782608696,0.07971014492753624,0.0031377732021175293,0.9637970130368269,0.0050053327347698824
weibo21,DAMMFND,科技,3,"42,2024,2026",,51,0.9122749231444883,0.03556142962399866,0.9215686274509803,0.033961780540566235,0.9747474747474748,0.017495462702715917,0.09364368597515764,0.010160989858423144,0.06824391184738161,0.008073262999330987,0.0392156862745098,0.03396178054056622,0.0784313725490196,0.03396178054056622,0.9590593109480287,0.009631886358884926
weibo21,DAMMFND,财经商业,3,"42,2024,2026",,234,0.9285364891861736,0.009815899631729847,0.94017094017094,0.007401926528072099,0.9663065843621399,0.017362539950347394,0.056886968743672967,0.010021023063106996,0.05484785515884242,0.00952061720910693,0.04273504273504273,0.01480385305614425,0.05982905982905982,0.007401926528072123,0.9658718455307241,0.004847720412157237
