dataset,seed,split,view_type,rows,view_ce_mean,view_correct_rate,view_flip_rate,anchor_view_abs_diff_mean,anchor_view_jsd_mean,h_collab_shift_norm_mean,h_collab_cosine_to_anchor_mean,pad_top2_overlap_mean
weibo21,42,train,anchor_deterministic_dca,4926,0.00026026858336784537,1.0,0.0,0.0,0.0,0.0,1.0000000615890463,0.5
weibo21,42,train,feature_mean_shuffled_top2_nonself,4926,0.00026681073820081653,1.0,0.0,2.460308298673216e-05,4.84481286239177e-07,0.8428469328463102,0.3009050497478929,0.43828664230613074
weibo21,42,train,feature_mean_top2_nonself,4926,0.0002694976214422298,1.0,0.0,2.5734564620963957e-05,5.306669860356564e-07,0.8433602234356974,0.299393141657716,0.452902963865205
weibo21,42,train,feature_min_shuffled_top2_nonself,4926,0.00024788028445915606,1.0,0.0,2.364188392535533e-05,3.690532148473531e-07,0.7705945990528946,0.41249134801434056,0.48071457572066584
weibo21,42,train,feature_min_top2_nonself,4926,0.0002494306444706151,1.0,0.0,2.3445220392780557e-05,3.7135964541786136e-07,0.7692659247153859,0.41326617818723543,0.4894437677628908
weibo21,42,train,hybrid_rank_shuffled_top2_nonself,4926,0.00025847115265089125,1.0,0.0,2.1938357255380287e-05,4.0224370495535986e-07,0.7505637894328222,0.4637429852725297,0.7092976045473001
weibo21,42,train,hybrid_rank_top2_nonself,4926,0.00026091462489709447,1.0,0.0,1.9635638497771576e-05,3.1659718168755555e-07,0.7280569458293372,0.4965279472419342,0.8072472594397077
weibo21,42,train,hybrid_z_shuffled_top2_nonself,4926,0.00024787996984119515,1.0,0.0,2.364206292668914e-05,3.6904408359716936e-07,0.7705651236606526,0.4125795356787127,0.4809175801867641
weibo21,42,train,hybrid_z_top2_nonself,4926,0.00024943122529320715,1.0,0.0,2.3445925656625176e-05,3.7138488880587914e-07,0.7693051941332854,0.4132501734719376,0.48995127892813645
weibo21,42,train,pad_bottom2_nonself,4926,0.0002466201005506871,1.0,0.0,3.3259620179124745e-05,7.603965303152115e-07,1.0004617975971053,0.10835044016328785,0.0
weibo21,42,train,pad_shuffled_top2_nonself,4926,0.00025625068824541706,1.0,0.0,2.1160868487478322e-05,3.860863728379275e-07,0.7193236414901232,0.5211527512253383,0.8430775477060495
weibo21,42,train,pad_top2_nonself,4926,0.00025812417777966136,1.0,0.0,1.79498176353609e-05,2.5652375204604924e-07,0.6869898860138991,0.5686575347906295,1.0
weibo21,42,train,random_nonself_pair_seed1,4926,0.0002470045898887165,1.0,0.0,2.9941800190167806e-05,6.536286379555641e-07,0.9100160032474457,0.2206861674314848,0.25913520097442144
weibo21,42,train,random_nonself_pair_seed2,4926,0.00024680021434689747,1.0,0.0,2.811524236800797e-05,6.056319053847478e-07,0.9151844977243518,0.21356024391673334,0.2469549330085262
weibo21,42,train,random_nonself_pair_seed3,4926,0.0002472141913276174,1.0,0.0,2.9057093016172418e-05,6.253776397183566e-07,0.9152194054640748,0.21435936528922203,0.2519285424279334
weibo21,42,val,anchor_deterministic_dca,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0,0.0,1.0000000639659603,0.5
weibo21,42,val,feature_mean_shuffled_top2_nonself,615,0.1560596490400202,0.9577235772357724,0.0016260162601626016,0.0012524100229243933,1.5484169556060547e-05,0.8403693682779142,0.30506542113920054,0.46178861788617886
weibo21,42,val,feature_mean_top2_nonself,615,0.15686450523126927,0.9577235772357724,0.0016260162601626016,0.0011891640032080971,1.4347815225173376e-05,0.8319654593622782,0.3171859401028331,0.4796747967479675
weibo21,42,val,feature_min_shuffled_top2_nonself,615,0.15791392139691102,0.9560975609756097,0.0,0.0011477212941895416,1.1670383181661499e-05,0.7709410765306737,0.4088348232754847,0.48048780487804876
weibo21,42,val,feature_min_top2_nonself,615,0.1583180712909957,0.9560975609756097,0.0,0.0010364806508017332,1.1468646149049646e-05,0.763751478989919,0.4182725301239549,0.4894308943089431
weibo21,42,val,hybrid_rank_shuffled_top2_nonself,615,0.15675598370502414,0.9560975609756097,0.0,0.0013667335636836195,1.6976801773198673e-05,0.7516171002775673,0.45705306553016833,0.6829268292682927
weibo21,42,val,hybrid_rank_top2_nonself,615,0.15708177082992475,0.9560975609756097,0.0,0.0012313302184898797,1.362525425589668e-05,0.7260753174138262,0.49604529687544197,0.802439024390244
weibo21,42,val,hybrid_z_shuffled_top2_nonself,615,0.15791392139691102,0.9560975609756097,0.0,0.0011477212941895416,1.1670383181661499e-05,0.7709410765306737,0.40883482326336995,0.48048780487804876
weibo21,42,val,hybrid_z_top2_nonself,615,0.1583180712909957,0.9560975609756097,0.0,0.0010364806508017332,1.1468646149049646e-05,0.763751478989919,0.4182725301239549,0.4894308943089431
weibo21,42,val,pad_bottom2_nonself,615,0.158167083670277,0.9560975609756097,0.0,0.002446932070870574,5.681334092298596e-05,1.003926895401342,0.10321739978664289,0.0
weibo21,42,val,pad_shuffled_top2_nonself,615,0.1568494839919968,0.9560975609756097,0.0032520325203252032,0.001528755821460081,2.0034898825899195e-05,0.7287859256674604,0.5037179939145965,0.8178861788617886
weibo21,42,val,pad_top2_nonself,615,0.15778331337186874,0.9544715447154472,0.0016260162601626016,0.0013182222170857634,1.4239589238460727e-05,0.6881601476087803,0.5642624976189156,1.0
weibo21,42,val,random_nonself_pair_seed1,615,0.15894671432754626,0.9560975609756097,0.0,0.001706845809720965,2.7035949865931083e-05,0.9153731302517216,0.21136712813106312,0.2552845528455285
weibo21,42,val,random_nonself_pair_seed2,615,0.15829171188366833,0.9560975609756097,0.0,0.0017061137406165108,2.8572481422157663e-05,0.9210140347480774,0.20178086566133047,0.2577235772357724
weibo21,42,val,random_nonself_pair_seed3,615,0.15870855973334372,0.9560975609756097,0.0,0.0016748979606601517,2.6486562539851378e-05,0.9226782716386687,0.20060163124812752,0.24308943089430896
